dialogueId,utteranceNo,authorRole,utterances,Marker1,Marker2,Cause1,Cause2
3237,24,counselor,You may contact on the Helpline Number <cybercell_contact_no> of (U.P.) and  <cybercell_email_id>.,,,,
3237,25,victim,Your service is really appreciable Rakshak. See you soon. Bye.,,,,
3237,26,counselor,"Your appreciation is our reward. Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3238,0,counselor,Rakshak welcomes you in a safe and secured environment. How May I help you?,,,,
3238,1,victim,Hi rakshak! I need your help.,I need your help.,,,
3238,2,counselor,Rakshak is committed to assisting you in this secure environment. Would you please share that who is interacting with us?,,,,
3238,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3238,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail,,,
3238,5,victim,My uncle is trying to harass me. I don't know from where he got my sensitive documents and he is asking me to sleep with him for at least one night.,My uncle is trying to harass me.,,I don't know from where he got my sensitive documents,he is asking me to sleep with him for at least one night
3238,6,counselor,It's really disgusting. How a person can do this to a girl. Please don't feel alone. Would you please share how long you have been facing this issue?,It's really disgusting.,Please don't feel alone.,,
3238,7,victim,I am facing this issue for last one month.,I am facing this issue for last one month.,,,
3238,8,counselor,I am sorry that you have been facing all this. Would you please be comfortable sharing how your uncle is troubling you?,I am sorry that you have been facing all this,how your uncle is troubling you,,
3238,9,victim,"He knows that I have a boyfriend. Somehow, he managed my sensitive pics and video in which I was with my boyfriend. On the basis of that pics and videos he is harassing me. ",On the basis of that pics and videos he is harassing me.,,he managed my sensitive pics and video in which I was with my boyfriend.,
3238,10,counselor,It's absolutely disgusting. How an uncle can do this to someone like a daughter. Would you please be more comfortable sharing that is he your own uncle or some called uncle?,It's absolutely disgusting,,,
3238,11,victim,"He is my paternal uncle, my father's sister-in-law. ",,,,
3238,12,counselor,Oh! Please be alert while making any sort of communication with him. Would you please share that has he sent some pics or videos on your mobile?,Please be alert while making any sort of communication with him.,,has he sent some pics or videos on your mobile,
3238,13,victim,"No, he sent me my stuff on Facebook. ",,,he sent me my stuff on Facebook. ,
3238,14,counselor,Oh! Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,,,Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,
3238,15,victim,Facebook chatbox.,,,,
3238,16,counselor,Have you tried to report or block him on Facebook?,Have you tried to report or block him on Facebook,,,
3238,17,victim,"Yes, but he forced me to not block/report him. I am very scared. ",I am very scared,, he forced me to not block/report him,
3238,18,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development.   ",This is an instance of online harassment,,,
3238,19,victim,I would go with the national cyber crime reporting portal.,,,,
3238,20,counselor,"Thanks for choosing the National Cybercrime Reporting option. Please click on www.cybercrime.gov.in and click on ""Report Other Cyber Crime"" and click on ""File a Complain"" and click on ""I Accept"" to proceed and fill in the details or yours and the harasser after creating login credentials and click on ""Submit"". ",,,,
3238,21,victim,What type of information would be considered as evidence while filing my complaint related to cybercrime?,,,,
3238,22,counselor,"You can attach the document of evidence like Pics, Videos, Images and documents of proof, etc can be treated as evidence. ",,,,
3238,23,victim,What action will be taken if complainant reports any false complaint/information?,,,,
3238,24,counselor,Providing false information could make complainants liable to penal action as per the Indian Penal Code.,,,,
3238,25,victim,"Thanks Rakshak, you are really awesome. Now bye. ",,,,
3238,26,counselor,"Your appreciation is our reward. Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3239,0,counselor,Rakshak welcomes you in a safe and secured environment. How May I help you?,,,,
3239,1,victim,Hi rakshak! I need your help.,I need your help.,,,
3239,2,counselor,Rakshak is committed to assisting you in this secure environment. Would you please share that who is interacting with us?,,,,
3239,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3239,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail,,,
3239,5,victim,My uncle is trying to harass me. I don't know from where he got my sensitive documents and he is asking me to sleep with him for at least one night.,My uncle is trying to harass me.,,I don't know from where he got my sensitive documents,he is asking me to sleep with him for at least one night
3239,6,counselor,It's really disgusting. How a person can do this to a girl. Please don't feel alone. Would you please share how long you have been facing this issue?,It's really disgusting.,Please don't feel alone.,,
3239,7,victim,I am facing this issue for last one month.,I am facing this issue for last one month.,,,
3239,8,counselor,I am sorry that you have been facing all this. Would you please be comfortable sharing how your uncle is troubling you?,I am sorry that you have been facing all this,how your uncle is troubling you,,
3239,9,victim,"He knows that I have a boyfriend. Somehow, he managed my sensitive pics and video in which I was with my boyfriend. On the basis of that pics and videos he is harassing me. ",On the basis of that pics and videos he is harassing me.,,he managed my sensitive pics and video in which I was with my boyfriend.,
3239,10,counselor,It's absolutely disgusting. How an uncle can do this to someone like a daughter. Would you please be more comfortable sharing that is he your own uncle or some called uncle?,It's absolutely disgusting,,,
3239,11,victim,"He is my paternal uncle, my father's sister-in-law. ",,,,
3239,12,counselor,Oh! Please be alert while making any sort of communication with him. Would you please share that has he sent some pics or videos on your mobile?,Please be alert while making any sort of communication with him.,,has he sent some pics or videos on your mobile,
3239,13,victim,"No, he sent me my stuff on Facebook. ",,,he sent me my stuff on Facebook. ,
3239,14,counselor,Oh! Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,,,Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,
3239,15,victim,Facebook chatbox.,,,,
3239,16,counselor,Have you tried to report or block him on Facebook?,Have you tried to report or block him on Facebook,,,
3239,17,victim,"Yes, but he forced me to not block/report him. I am very scared. ",I am very scared,, he forced me to not block/report him,
3239,18,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development.   ",This is an instance of online harassment,,,
3239,19,victim,I will go for National Commission option.,,,,
3239,20,counselor,Would you go for an online/offline complaint option?,,,,
3239,21,victim,I would go with online option.,,,,
3239,22,counselor,"It's great to choose an online option. You can log on to http://ncwapps.nic.in/onlinecomplaintsv2/ and click on the ""Complaint Registration"" tab and then ""Ok"" to proceed further. ",,,,
3239,23,victim,is the the full procedure?,,,,
3239,24,counselor,"Yes sure, you may follow this to log on to http://ncwapps.nic.in/onlinecomplaintsv2/ and click on ""Complaint Registration"" ""Ok"" and fill in all the details of yours and about the accused and click to ""Submit"". ",,,,
3239,25,victim,How will I know if my complaint has been accepted by the National Commission for Women?,,,,
3239,26,counselor,"An acknowledgment along with complaint number, login ID, and password is sent to the complainant upon receipt of the complaint by the National Commission for Women if the complaint has been accepted by the National Commission for Women. In the event of the complaint being rejected, the same shall be communicated to the complainant at the earliest. One can also check it telephonically or by personally visiting the National Commission for Women. ",,,,
3239,27,victim,"Thanks a lot Rakshak, bye now. ",,,,
3239,28,counselor,"Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3240,0,counselor,Rakshak welcomes you in a safe and secured environment. How May I help you?,,,,
3240,1,victim,Hi rakshak! I need your help.,I need your help.,,,
3240,2,counselor,Rakshak is committed to assisting you in this secure environment. Would you please share that who is interacting with us?,,,,
3240,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3240,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail,,,
3240,5,victim,My uncle is trying to harass me. I don't know from where he got my sensitive documents and he is asking me to sleep with him for at least one night.,My uncle is trying to harass me.,,I don't know from where he got my sensitive documents,he is asking me to sleep with him for at least one night
3240,6,counselor,It's really disgusting. How a person can do this to a girl. Please don't feel alone. Would you please share how long you have been facing this issue?,It's really disgusting.,Please don't feel alone.,,
3240,7,victim,I am facing this issue for last one month.,I am facing this issue for last one month.,,,
3240,8,counselor,I am sorry that you have been facing all this. Would you please be comfortable sharing how your uncle is troubling you?,I am sorry that you have been facing all this,how your uncle is troubling you,,
3240,9,victim,"He knows that I have a boyfriend. Somehow, he managed my sensitive pics and video in which I was with my boyfriend. On the basis of that pics and videos he is harassing me. ",On the basis of that pics and videos he is harassing me.,,he managed my sensitive pics and video in which I was with my boyfriend.,
3240,10,counselor,It's absolutely disgusting. How an uncle can do this to someone like a daughter. Would you please be more comfortable sharing that is he your own uncle or some called uncle?,It's absolutely disgusting,,,
3240,11,victim,"He is my paternal uncle, my father's sister-in-law. ",,,,
3240,12,counselor,Oh! Please be alert while making any sort of communication with him. Would you please share that has he sent some pics or videos on your mobile?,Please be alert while making any sort of communication with him.,,has he sent some pics or videos on your mobile,
3240,13,victim,"No, he sent me my stuff on Facebook. ",,,he sent me my stuff on Facebook. ,
3240,14,counselor,Oh! Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,,,Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,
3240,15,victim,Facebook chatbox.,,,,
3240,16,counselor,Have you tried to report or block him on Facebook?,Have you tried to report or block him on Facebook,,,
3240,17,victim,"Yes, but he forced me to not block/report him. I am very scared. ",I am very scared,, he forced me to not block/report him,
3240,18,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development.   ",This is an instance of online harassment,,,
3240,19,victim,I will go for National Commission option.,,,,
3240,20,counselor,Would you go for an online/offline complaint option?,,,,
3240,21,victim,How can I report this matter to NCW in-person?,,,,
3240,22,counselor,"Thanks for choosing an offline option. Please send a written application containing all the important details (along with supporting documents and evidence, if any) through the post or by hand to National Commission for Women, Plot No.21, FC33, Jasola Institutional Area, New Delhi-110025. ",,,,
3240,23,victim,Who will handle my case?,,,,
3240,24,counselor,Your case will be handled by the Complaints and Investigation cell of NCW.,,,,
3240,25,victim,What should I write in the application?,,,,
3240,26,counselor,"You may share the contact details of the complainant (Mandatory) and the respondent ( if available ), a brief description of the incident, details of remedies already exhausted, Supporting documents (If any).",,,,
3240,27,victim,When can I contact to NCW?,,,,
3240,28,counselor,You can contact us anytime between 9.00 AM – 5.30 PM. Working Days - Monday to Friday or you can send details through email at any time.,,,,
3240,29,victim,Can you provide any helpline number for NCW?,,,,
3240,30,counselor,"Yes, in any case of help, you may contact on 011-26944880, 26944883.   ",,,,
3240,31,victim,"Thank you very much Rakshak, bye now. ",,,,
3240,32,counselor,"Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3241,0,counselor,Rakshak welcomes you in a safe and secured environment. How May I help you?,,,,
3241,1,victim,Hi rakshak! I need your help.,I need your help.,,,
3241,2,counselor,Rakshak is committed to assisting you in this secure environment. Would you please share that who is interacting with us?,,,,
3241,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3241,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail,,,
3241,5,victim,My uncle is trying to harass me. I don't know from where he got my sensitive documents and he is asking me to sleep with him for at least one night.,My uncle is trying to harass me.,,I don't know from where he got my sensitive documents,he is asking me to sleep with him for at least one night
3241,6,counselor,It's really disgusting. How a person can do this to a girl. Please don't feel alone. Would you please share how long you have been facing this issue?,It's really disgusting.,Please don't feel alone.,,
3241,7,victim,I am facing this issue for last one month.,I am facing this issue for last one month.,,,
3241,8,counselor,I am sorry that you have been facing all this. Would you please be comfortable sharing how your uncle is troubling you?,I am sorry that you have been facing all this,how your uncle is troubling you,,
3241,9,victim,"He knows that I have a boyfriend. Somehow, he managed my sensitive pics and video in which I was with my boyfriend. On the basis of that pics and videos he is harassing me. ",On the basis of that pics and videos he is harassing me.,,he managed my sensitive pics and video in which I was with my boyfriend.,
3241,10,counselor,It's absolutely disgusting. How an uncle can do this to someone like a daughter. Would you please be more comfortable sharing that is he your own uncle or some called uncle?,It's absolutely disgusting,,,
3241,11,victim,"He is my paternal uncle, my father's sister-in-law. ",,,,
3241,12,counselor,Oh! Please be alert while making any sort of communication with him. Would you please share that has he sent some pics or videos on your mobile?,Please be alert while making any sort of communication with him.,,has he sent some pics or videos on your mobile,
3241,13,victim,"No, he sent me my stuff on Facebook. ",,,he sent me my stuff on Facebook. ,
3241,14,counselor,Oh! Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,,,Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,
3241,15,victim,Facebook chatbox.,,,,
3241,16,counselor,Have you tried to report or block him on Facebook?,Have you tried to report or block him on Facebook,,,
3241,17,victim,"Yes, but he forced me to not block/report him. I am very scared. ",I am very scared,, he forced me to not block/report him,
3241,18,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development.   ",This is an instance of online harassment,,,
3241,19,victim,Would you please explain that what is MWCD?,,,,
3241,20,counselor,"The Ministry was constituted with the prime intention of addressing gaps in State action for women and children for promoting inter-Ministerial and inter-sectoral convergence to create gender equitable and child-centered legislation, policies, and programs. ",,,,
3241,21,victim,How can I report here?,,,,
3241,22,counselor,We appreciate your choice. Please do send an email describing your incident details to the Ministry of Women & Child Development through email account complaint-mwcd@gov.in.,,,,
3241,23,victim,Can you tell me the format of the attachment?,,,,
3241,24,counselor,"You are required to provide the contact details of the complainant (Mandatory) and the respondent ( if available ), a brief description of the incident, details of remedies already exhausted, and supporting documents (If any). ",,,,
3241,25,victim,When can I contact MWCD?,,,,
3241,26,counselor,You can contact thereby 24*7 by sending an email on the above email id.,,,,
3241,27,victim,"Thanks Rakshak, you are really awesome. Now bye. ",,,,
3241,28,counselor,"Your appreciation is our reward. Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3242,0,counselor,Rakshak welcomes you here in a safe and secure environment.,,,,
3242,1,victim,"I am so disturbed, please help me Rakshak. ","I am so disturbed, please help me Rakshak. ",,,
3242,2,counselor,Please calm down and have patience. We are here to assist you in every possible way. Would you please be comfortable sharing that who is interacting with Rakshak?,,,,
3242,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3242,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail ,,,
3242,5,victim,I was very closed to my brother's friend. We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,,,We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,
3242,6,counselor,It's really disgusting. Please keep calm. You are not alone here. Would you please be comfortable sharing that for how long you have been facing this issue?,It's really disgusting,You are not alone here.,,
3242,7,victim,I am having this issue for last two months.,I am having this issue for last two months.,,,
3242,8,counselor,Please stay strong and be patient. We will sort this out very soon. Would you please tell us that has he got intimated with you with your agreement?,Please stay strong and be patient.,,,
3242,9,victim,"Yes, but now he harassing me through the pics and videos we had clicked. He sends that pics and videos to my other male friends. ",he harassing me through the pics and videos we had clicked,,He sends that pics and videos to my other male friends.,
3242,10,counselor,Would you please share what kinds of pics and how these pics are harming your image among your friends?,,,how these pics are harming your image among your friends,
3242,11,victim,Are you out of your mind. I told you that when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos and playing with my emotions.,playing with my emotions,,when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos,
3242,12,counselor,I am sorry to make you annoyed. We were not intended to do so. Would you please tell us why is he doing this to you?,,,,
3242,13,victim,Rakshak you are really bothering me. I already told you that he is harassing me he just want to play with my body.,he is harassing me,,he just want to play with my body,
3242,14,counselor,I am sorry to make such questions to investigate the actual cause of this problem. Would you please tell us that has he made any other demands like money or jewelleries etc?,,,,
3242,15,victim,"No, that rascal just wants me to go in his bed whenever he ask me to do so. ",,,that rascal just wants me to go in his bed whenever he ask me to do so.,
3242,16,counselor,It's really disgusting. How a true lover can do such things to her beloved. Would you please tell us that which social media is he using to share the pics and videos with your friends?,It's really disgusting,How a true lover can do such things to her beloved.,which social media is he using to share the pics and videos with your friends,
3242,17,victim,Facebook and Instagram. I am helpless completely.,I am helpless completely.,,,
3242,18,counselor,Would you please tell us how have you come to know that he is sharing your private pics with his friends?,,,he is sharing your private pics with his friends,
3242,19,victim,You are not reading my text properly. He is sending that pics and videos to my friends. They told me.,,,He is sending that pics and videos to my friends.,
3242,20,counselor,Would you please tell us that have you tried to report/block him on the respective platform?,have you tried to report/block him,,,
3242,21,victim,"Yes, but it was useless. ",,,,
3242,22,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development. ",This is an instance of online harassment,,,
3242,23,victim,"I will definitely go for a legal action, but now I need some counselling help. Would you please help me regarding that? ",I will definitely go for a legal action,,,
3242,24,counselor,"Of course, we can assist you with a few counseling options like National Commission for Women Helpline Assistance and Women In-Distress. Which one you would like to opt for?   ",,,,
3242,25,victim,"Ok, thanks Rakshak, I will catch you later bye now. ",,,,
3242,26,counselor,"Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3243,0,counselor,Rakshak welcomes you here in a safe and secure environment.,,,,
3243,1,victim,"I am so disturbed, please help me Rakshak. ","I am so disturbed, please help me Rakshak. ",,,
3243,2,counselor,Please calm down and have patience. We are here to assist you in every possible way. Would you please be comfortable sharing that who is interacting with Rakshak?,,,,
3243,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3243,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail ,,,
3243,5,victim,I was very closed to my brother's friend. We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,,,We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,
3243,6,counselor,It's really disgusting. Please keep calm. You are not alone here. Would you please be comfortable sharing that for how long you have been facing this issue?,It's really disgusting,You are not alone here.,,
3243,7,victim,I am having this issue for last two months.,I am having this issue for last two months.,,,
3243,8,counselor,Please stay strong and be patient. We will sort this out very soon. Would you please tell us that has he got intimated with you with your agreement?,Please stay strong and be patient.,,,
3243,9,victim,"Yes, but now he harassing me through the pics and videos we had clicked. He sends that pics and videos to my other male friends. ",he harassing me through the pics and videos we had clicked,,He sends that pics and videos to my other male friends.,
3243,10,counselor,Would you please share what kinds of pics and how these pics are harming your image among your friends?,,,how these pics are harming your image among your friends,
3243,11,victim,Are you out of your mind. I told you that when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos and playing with my emotions.,playing with my emotions,,when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos,
3243,12,counselor,I am sorry to make you annoyed. We were not intended to do so. Would you please tell us why is he doing this to you?,,,,
3243,13,victim,Rakshak you are really bothering me. I already told you that he is harassing me he just want to play with my body.,he is harassing me,,he just want to play with my body,
3243,14,counselor,I am sorry to make such questions to investigate the actual cause of this problem. Would you please tell us that has he made any other demands like money or jewelleries etc?,,,,
3243,15,victim,"No, that rascal just wants me to go in his bed whenever he ask me to do so. ",,,that rascal just wants me to go in his bed whenever he ask me to do so.,
3243,16,counselor,It's really disgusting. How a true lover can do such things to her beloved. Would you please tell us that which social media is he using to share the pics and videos with your friends?,It's really disgusting,How a true lover can do such things to her beloved.,which social media is he using to share the pics and videos with your friends,
3243,17,victim,Facebook and Instagram. I am helpless completely.,I am helpless completely.,,,
3243,18,counselor,Would you please tell us how have you come to know that he is sharing your private pics with his friends?,,,he is sharing your private pics with his friends,
3243,19,victim,You are not reading my text properly. He is sending that pics and videos to my friends. They told me.,,,He is sending that pics and videos to my friends.,
3243,20,counselor,Would you please tell us that have you tried to report/block him on the respective platform?,have you tried to report/block him,,,
3243,21,victim,"Yes, but it was useless. ",,,,
3243,22,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development. ",This is an instance of online harassment,,,
3243,23,victim,I would go for a National Commission for Women for counselling assistance.,,,,
3243,24,counselor,Thanks for choosing this service. You may call on 7827170170 for Information/Support/Counselling options by 24*7 for nationwide.,,,,
3243,25,victim,Do they have any relaxation for students in submitting the fees?,,,,
3243,26,counselor,It's absolutely free for all.,,,,
3243,27,victim,"Oh really, that's nice. Thanks for your help Rakshak I will catch you later. ",,,,
3243,28,counselor,"Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3243,27,victim,I have heard about Women in Distress. Would you tell me what is that?,,,,
3243,28,counselor,"Thanks for choosing Women In-Distress. Its mission is to stop domestic violence abuse for everyone through intervention, education, and advocacy. They offer 24-hour crisis intervention through our 24-Hour Crisis Hotline and emergency shelter, as well as counseling and support for victims and their children. ",,,,
3243,29,victim,That sounds great. Would you tell me the help line number?,,,,
3243,30,counselor,"Yes, you can call on helpline no. (954)761-1133 for women in distress assistance. ",,,,
3243,31,victim,What are the charges?,,,,
3243,32,counselor,It's completely free from the GOI.,,,,
3243,33,victim,"Thanks Rakshak, I will catch you later. Bye now. ",,,,
3243,34,counselor,"Thanks for visiting us at, Rakshak. Kindly keep yourself updated with the latest cybercrime news and safety tips with Cyber Dost https://twitter.com/Cyberdost. Have a great day ahead! ",,,,
3244,0,counselor,Rakshak welcomes you here in a safe and secure environment.,,,,
3244,1,victim,"I am so disturbed, please help me Rakshak. ","I am so disturbed, please help me Rakshak. ",,,
3244,2,counselor,Please calm down and have patience. We are here to assist you in every possible way. Would you please be comfortable sharing that who is interacting with Rakshak?,,,,
3244,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3244,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail ,,,
3244,5,victim,I was very closed to my brother's friend. We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,,,We are intimated but that mother-fucker refusing to marry me but still want to play with my body.,
3244,6,counselor,It's really disgusting. Please keep calm. You are not alone here. Would you please be comfortable sharing that for how long you have been facing this issue?,It's really disgusting,You are not alone here.,,
3244,7,victim,I am having this issue for last two months.,I am having this issue for last two months.,,,
3244,8,counselor,Please stay strong and be patient. We will sort this out very soon. Would you please tell us that has he got intimated with you with your agreement?,Please stay strong and be patient.,,,
3244,9,victim,"Yes, but now he harassing me through the pics and videos we had clicked. He sends that pics and videos to my other male friends. ",he harassing me through the pics and videos we had clicked,,He sends that pics and videos to my other male friends.,
3244,10,counselor,Would you please share what kinds of pics and how these pics are harming your image among your friends?,,,how these pics are harming your image among your friends,
3244,11,victim,Are you out of your mind. I told you that when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos and playing with my emotions.,playing with my emotions,,when we are getting intimated we had clicked some pics and shoot some videos. He sharing that videos,
3244,12,counselor,I am sorry to make you annoyed. We were not intended to do so. Would you please tell us why is he doing this to you?,,,,
3244,13,victim,Rakshak you are really bothering me. I already told you that he is harassing me he just want to play with my body.,he is harassing me,,he just want to play with my body,
3244,14,counselor,I am sorry to make such questions to investigate the actual cause of this problem. Would you please tell us that has he made any other demands like money or jewelleries etc?,,,,
3244,15,victim,"No, that rascal just wants me to go in his bed whenever he ask me to do so. ",,,that rascal just wants me to go in his bed whenever he ask me to do so.,
3244,16,counselor,It's really disgusting. How a true lover can do such things to her beloved. Would you please tell us that which social media is he using to share the pics and videos with your friends?,It's really disgusting,How a true lover can do such things to her beloved.,which social media is he using to share the pics and videos with your friends,
3244,17,victim,Facebook and Instagram. I am helpless completely.,I am helpless completely.,,,
3244,18,counselor,Would you please tell us how have you come to know that he is sharing your private pics with his friends?,,,he is sharing your private pics with his friends,
3244,19,victim,You are not reading my text properly. He is sending that pics and videos to my friends. They told me.,,,He is sending that pics and videos to my friends.,
3244,20,counselor,Would you please tell us that have you tried to report/block him on the respective platform?,have you tried to report/block him,,,
3244,21,victim,"Yes, but it was useless. ",,,,
3244,22,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development. ",This is an instance of online harassment,,,
3244,23,victim,"I will definitely go for a legal action, but now I need some counselling help. Would you please help me regarding that? ",I will definitely go for a legal action,,,
3244,24,counselor,"Of course, we can assist you with a few counseling options like National Commission for Women Helpline Assistance and Women In-Distress. Which one you would like to opt for?   ",,,,
3244,23,victim,I would go for Cyber Cell Complaint option.,,,,
3244,24,counselor,Would you please share the location to assist you in a better way?,,,,
3244,25,victim,I live in Gorakhpur (UP).,,,,
3244,26,counselor,Thank you for the location detail. Kindly visit the cyber cell <cybercell_address>.,,,,
